% Model:              ns_case2_nocirc.mph
% Version:            COMSOL 6.0.0.354
% Date:               May 19 2023, 19:47
% Dimension:          2
% Nodes:              12910
% Expressions:        3
% Description:        速度场，x 分量, 速度场，y 分量, 压力
% Length unit:        m
% x                       y                        u (m/s)                  v (m/s)                  p (Pa)
0                         0.011528249976719453     0.045581397716774885     0                        0.11588354207606914
0                         0.006268907531179531     0.024918433318180205     0                        0.11606628114047544
0.008584603448585998      0.009949985093202959     0.039355778738016996     5.638786749188725E-6     0.1155645821917534
0.00970347771278346       0.015304040720672436     0.0602108311898773       7.92030756567927E-6      0.11547654994364044
0                         0.019916632630375554     0.07807984150016885      0                        0.11574972742771232
0                         0.9891689391270171       0.0428549959733946       0                        0.11459992956798092
0.010584208872849032      0.9908975267357347       0.03602142977498401      -7.082245577766611E-6    0.11419611125238686
0                         0.994342534052106        0.022501836107769513     0                        0.1147811810804928
0.010820494671388226      0.024868609660380726     0.09691768835855052      8.111392438504074E-6     0.11535635694416026
0                         0.030621029515004325     0.11873352826578225      0                        0.11562102997496605
0                         0.9808999735018418       0.07494086194371154      0                        0.11443706420142692
0.011953676976756028      0.9852704552814888       0.05797907078375732      -1.2938627770994641E-5   0.11408830947488989
0.013088737473838093      0.039457901005964045     0.1514179035266849       1.7411804588165328E-6    0.11519929339425748
0                         0.047423131791947445     0.1806967134519641       0                        0.1154491266532734
0                         0.969664143758135        0.11766236827175147      0                        0.11423386686118914
0.011484826420320574      0.9753067726931244       0.09624163873141774      -1.7599784203942535E-5   0.11408861643673242
0.014262621606001065      0.057830357674248156     0.21774104082801007      -2.2665500266700912E-5   0.11512673432771746
0                         0.0678504542333038       0.2529870803745526       0                        0.11543450689452965
0.012163335969500711      0.9600644119663491       0.15319023254099062      1.8598690061693155E-5    0.11395007732486222
0                         0.9506906179664159       0.18751186750820073      0                        0.11426565523508354
0.015111582159764558      0.08093576167067967      0.2972270477676689       6.3960343717957744E-6    0.11508079337192478
0                         0.09141940299671372      0.3322475830097527       0                        0.11537564314511312
0.013968831830497998      0.9393628015067782       0.2276296665151961       3.203198935689688E-5     0.11395338366156786
0                         0.9303676611832441       0.2591347048306576       0                        0.11428002413892098
0.01587237055231203       0.10359754961691989      0.37119781044582534      7.248870712288656E-6     0.11497956729740576
0                         0.11278380835631446      0.4002544837158424       0                        0.1152943807740922
0.014958073396617214      0.9164447678536439       0.306034882060443        -8.784506077554257E-6    0.11384162556271094
0                         0.9084462789535921       0.33268654883585774      0                        0.11411505381468406
0.01676887739683153       0.12272141169414784      0.43036038364134344      -2.616348890876906E-6    0.11494816395955924
0                         0.13237384472128638      0.4594040398199646       0                        0.1153264794407498
0.015689087950020855      0.8962400066462749       0.3716904586679814       8.783220647246885E-6     0.11376451016717519
0                         0.8872171404994187       0.4002515444138138       0                        0.11410103130207365
0.01766379214714539       0.14285711859947878      0.48949538523866515      8.646293860926183E-6     0.11488253832541628
0                         0.1529733033465963       0.5182898872393061       0                        0.11524988292983722
0.01652289193696678       0.877004089995367        0.43119728767764337      1.292904155433915E-5     0.11374149280636671
0                         0.867626687187882        0.4594024754690525       0                        0.1141013276140695
0.01863927417593575       0.16400304489698603      0.5480951649445717       1.8319960361189632E-5    0.11480120636298947
0                         0.17463349282453533      0.5765465440337532       0                        0.11515387034425006
0.017455806835136485      0.8569216206652965       0.4901372124725634       1.0658000130692281E-5    0.1136698254251667
0                         0.847027008079579        0.5182890226533433       0                        0.1140304783746593
0                         0.19740866158717102      0.6337539276701312       0                        0.11504707522917201
0.01962733627745176       0.18623512558595795      0.6058457178750091       2.7467539470969537E-5    0.11471122941251101
0.01837919241874447       0.8358188668566567       0.5485807628981512       1.2624090627019047E-5    0.11360540128318176
0                         0.8253679707430538       0.5765427344581892       0                        0.1139595856062026
0                         0.2213557808355221       0.6894295965048737       0                        0.11492454525810718
0.02060560362845588       0.20965734799334407      0.662407510275372        3.577308221274341E-5     0.1146126618353193
0.019449005271768724      0.813605328985744        0.6062502273132301       1.50457743082586E-5      0.11353722810524551
0                         0.8025922177627813       0.633751798997606        0                        0.11388378875610665
0                         0.24653538817071832      0.7430227622009262       0                        0.11478941666315252
0.021763414493100125      0.23425620710917497      0.7170839508150858       4.3955762705585844E-5    0.11449831376779794
0                         0.7786445321368072       0.6894288988410393       0                        0.11380141909239365
0.02052976326244405       0.7902142040538918       0.6627084381456876       1.71167950757448E-5      0.11347055825950048
0                         0.27301094831468703      0.7939038816600092       0                        0.11463262606417225
0.022904676476181315      0.26010361694068823      0.7693091340699966       5.396434002140785E-5     0.11437197081175916
0                         0.7534646118292817       0.7430227622009262       0                        0.11372027543922027
0.021667761046083315      0.7656478876499895       0.7172912990635455       1.865452853594391E-5     0.11340431514592182
0                         0.30084881559606236      0.8413552230020351       0                        0.11445059870268855
0.02421649111206299       0.28703361647547976      0.8180403517390079       6.0235216985712155E-5    0.11422607824450338
0                         0.726989051685313        0.7939038816600089       0                        0.11363556858832224
0.022719368198113404      0.7397866609014685       0.7695297587528885       2.4527061143765873E-5    0.11334445264320885
0.02572115996526514       0.3153009001390153       0.8629574474596433       6.823936519385834E-5     0.11407010415974277
0                         0.33011908805678963      0.8845619030293728       0                        0.11426699063582828
0.026597255805727735      0.3452993469048461       0.9036314625953695       6.312161446496836E-5     0.11393561637373394
0                         0.3608954704802949       0.922599719468406        0                        0.11407910208941437
0.028000936630260743      0.3767367552555998       0.9385227092645173       5.521340897610139E-5     0.11378583023018919
0                         0.39325546001431244      0.9544224127329758       0                        0.1138915903255856
0                         0.6991511844039376       0.8413552230020351       0                        0.11355092386422548
0.024100520583810042      0.7126541069096788       0.818583457657191        3.337542462823197E-5     0.11327935278073871
0                         0.6698809119432099       0.8845619030293735       0                        0.11347721166886139
0.025415165494954484      0.6840380064614973       0.8639393396488471       4.299709257365926E-5     0.11322938775030873
0                         0.639104529519705        0.9225997194684061       0                        0.11342231417576094
0.026673641086714012      0.6538861502221639       0.904638596312013        5.602834768991109E-5     0.11320104276862157
0.02921709342747369       0.41003410210854546      0.9668552189025835       5.405620058180401E-5     0.11365072920024243
0                         0.42728054188634124      0.9788475216466234       0                        0.11370859876359829
0.03016977636036768       0.4450607821605773       0.9870847382520941       6.494156518790558E-5     0.11351956934466441
0                         0.46305638881114347      0.9945406783693066       0                        0.11354137070742282
0                         0.6067445399856873       0.954422412732976        0                        0.11339031012338402
0.02780854369797302       0.6221535920200689       0.9396138748097292       7.042638739790295E-5     0.11320137459197553
0.028750151986051853      0.588828332374219        0.9676697374064868       8.425987834889159E-5     0.11323235268124611
0                         0.5727194581136581       0.9788475216466237       0                        0.11337803283865261
0.030867214900323653      0.48127649810615375      0.9977111146747927       7.667797428378312E-5     0.11339526913971669
0                         0.49999999999999756      1                        0                        0.113426568311168
0.030519281957623257      0.5179676329641725       0.9978175225108094       8.77281124477556E-5      0.11332107934682749
0                         0.5369436111888517       0.9945406783693077       0                        0.11338324110400566
0.02949993716031485       0.5540543495712219       0.9874695522204916       9.165747349943957E-5     0.1132802404508192
1.996561678696769         1                        0                        0                        -0.024028499406901473
1.996561678696769         0.9991909240403001       0.007269385291116148     2.8630951453984275E-4    -0.026931115890362234
2                         1                        0                        0                        -0.14745081350122666
2                         1.0034077854341379       0                        0                        -0.2432435549664056
2.0008118493974782        1.0034077854341379       3.43846941325104E-4      8.318374281683364E-4     -0.23923739623174445
4                         0.010693354188974658     0.00976874686077312      3.078052605071263E-7     -1.435115450208239E-4
3.9895008274117765        0.008892351871502774     0.008124094065336087     1.651295339075574E-5     -5.177380616736008E-4
3.9999999999999996        0.0055487318071467655    0.004989591567359567     -7.608423564625379E-8    -7.009921192940718E-5
4                         0.01840243966779731      0.017178324123480273     1.1324998352936448E-7    -2.3180255455953192E-4
3.9874720203954848        0.014801044511852077     0.013750907019289145     4.887571484181057E-5     -5.947467086077366E-4
4                         0.030124165519071155     0.028992923552504653     2.3201887778230545E-7    -3.142732808133237E-4
3.9885783330512377        0.024579020581163964     0.023428399162888535     1.0714856408211924E-4    -5.23934023438653E-4
3.987509663796653         0.03961186499829214      0.03919317012761608      2.576344669765308E-4     -6.070628444026313E-4
4                         0.04883593356391902      0.049140090027259574     -1.1483520778753887E-7   -3.219362521239314E-4
3.986211674951017         0.060062333154588206     0.06206830949360631      5.839056690162118E-4     -6.572778244449516E-4
4                         0.06885741399163114      0.07211805330316601      -3.178097583849578E-7    -2.940254479220946E-4
3.9851965148641955        0.08264412087097525      0.08898078269198471      0.001127988308751695     -7.064886380794062E-4
4                         0.09043031263518841      0.09829902450637151      -1.7891393517756215E-8   -2.8477710142713313E-4
3.9845345593547847        0.10245253033434823      0.11387262319518433      0.001774042541488719     -7.588558067004907E-4
4                         0.11131951150093158      0.12498230029534889      7.297105685893593E-7     -2.4521554979926646E-4
3.9837675698158526        0.12127691555107785      0.13854441616553118      0.002582728343656041     -8.50541444777429E-4
4                         0.13060279282029955      0.15061155223618672      1.605104982828801E-6     -2.276298914246859E-4
3.982922058556567         0.14099549534855585      0.1653329591634173       0.0036540231051851962    -9.589607891277084E-4
4                         0.15086864146985168      0.17845220270071283      3.066537057240491E-6     -2.2910881045824555E-4
3.9820518385548276        0.161799028571372        0.19451373224682522      0.005058282223015561     -0.001090365914658284
4                         0.1721672328972812       0.2085887794423974       5.4196704660675265E-6    -2.3188460249679152E-4
3.9810703354188135        0.1835961217457689       0.22596480160251511      0.006887498420331803     -0.0012527265085702942
4                         0.19454881304520422      0.2410685923484451       9.370021498267727E-6     -2.4226517544800232E-4
3.980028554956329         0.2065619175122994       0.25990027319851944      0.00923133558435843      -0.0014448677487193015
4                         0.2180684495566252       0.2759111986414299       1.560908455399063E-5     -2.6211434729085214E-4
3.978926962783609         0.23072601926793826      0.29628220998718063      0.012185359857235385     -0.0016675860983771911
4                         0.2427840101331118       0.31308563126287625      2.530555936943886E-5     -2.965527597167708E-4
3.97778628158977          0.2560994292844796       0.3349730111307912       0.015826486244729387     -0.0019199738561364095
4                         0.2687563051474702       0.3524964229994603       3.991107502718991E-5     -3.4860995124799373E-4
3.9765889007466804        0.282756607002552        0.37585054895803344      0.02023951631241086      -0.002196479973035416
4                         0.29604923691108964      0.39395740683417624      6.146216871986332E-5     -4.241560066214017E-4
4                         0.324729956972698        0.43718200572614857      9.201272260958224E-5     -5.267153509142023E-4
3.9753918631702705        0.3107853707183513       0.4186966515378067       0.025448735549985387     -0.0024843117609715734
3.9741946862109523        0.3402273504219052       0.4630958478278108       0.03146485403103249      -0.002774437642997122
4                         0.3548690313761571       0.4817567626400067       1.3418252034038915E-4    -6.563025875437663E-4
3.97294397170356          0.37111787706496735      0.5084847610733644       0.03829082627989075      -0.0030609424364549088
4                         0.386540614530529        0.5271115315846324       1.9141185232524134E-4    -8.057668507948238E-4
3.9716014729443874        0.4035596608587106       0.5542331818802867       0.04589057626855648      -0.0033246416779995473
4                         0.4198226312758955       0.5724880898898417       2.671404250602635E-4     -9.6515981624254E-4
